,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres
766,MileIQ - Free Mileage Tracker for Business,FINANCE,4.5,46106,22.0,1000000,Free,0.0,Everyone,Finance
767,QuickBooks Self-Employed:Mileage Tracker and Taxes,FINANCE,4.4,15141,25.0,1000000,Free,0.0,Everyone,Finance
768,FREE Stock Market Trading Tips,FINANCE,3.9,714,3.6,50000,Free,0.0,Everyone,Finance
769,Stock Quote,FINANCE,4.1,4344,4.5,500000,Free,0.0,Everyone,Finance
770,Stock Trainer: Virtual Trading (Stock Markets),FINANCE,4.4,42809,23.0,1000000,Free,0.0,Everyone,Finance
771,US Stock Market,FINANCE,4.4,1922,4.2,100000,Free,0.0,Everyone,Finance
772,E*TRADE Mobile,FINANCE,3.9,10658,58.0,1000000,Free,0.0,Everyone,Finance
773,MSN Money- Stock Quotes & News,FINANCE,4.5,78361,22.0,1000000,Free,0.0,Everyone,Finance
774,NSE Mobile Trading,FINANCE,4.1,13868,1.4,1000000,Free,0.0,Everyone,Finance
775,"JStock - Stock Market, Portfolio & News",FINANCE,4.6,11066,9.1,500000,Free,0.0,Everyone,Finance
776,Digit Save Money Automatically,FINANCE,4.5,8188,22.0,100000,Free,0.0,Everyone,Finance
777,Current debit card and app made for teens,FINANCE,4.3,685,21.0,50000,Free,0.0,Everyone,Finance
778,Betterment,FINANCE,4.4,3780,11.0,100000,Free,0.0,Everyone,Finance
779,Citizens Bank Mobile Banking,FINANCE,4.1,15192,38.0,1000000,Free,0.0,Everyone,Finance
780,GoBank,FINANCE,4.4,5950,12.0,500000,Free,0.0,Everyone,Finance
781,NetSpend Prepaid,FINANCE,4.2,15993,45.0,1000000,Free,0.0,Everyone,Finance
782,BBVA Compass Banking,FINANCE,4.3,5905,50.0,500000,Free,0.0,Everyone,Finance
783,Simple - Better Banking,FINANCE,4.4,7731,24.0,100000,Free,0.0,Everyone,Finance
784,PayPal,FINANCE,4.3,659760,47.0,50000000,Free,0.0,Everyone,Finance
785,BankMobile Vibe App,FINANCE,4.3,14627,23.0,1000000,Free,0.0,Everyone,Finance
786,Netspend Skylight ONE,FINANCE,3.9,1098,46.0,100000,Free,0.0,Everyone,Finance
787,ACE Elite,FINANCE,4.1,2898,45.0,100000,Free,0.0,Everyone,Finance
788,U.S. Bank,FINANCE,4.1,70782,50.0,1000000,Free,0.0,Everyone,Finance
789,Huntington Mobile,FINANCE,4.2,11264,24.0,1000000,Free,0.0,Everyone,Finance
790,USAA Mobile,FINANCE,4.5,100997,33.0,5000000,Free,0.0,Everyone,Finance
791,Associated Credit Union Mobile,FINANCE,4.7,3290,12.0,50000,Free,0.0,Everyone,Finance
792,Bank of America Mobile Banking,FINANCE,4.4,341090,53.0,10000000,Free,0.0,Everyone,Finance
793,USE Credit Union Mobile,FINANCE,4.6,964,14.0,10000,Free,0.0,Everyone,Finance
794,Discover Mobile,FINANCE,4.6,87951,68.0,5000000,Free,0.0,Everyone,Finance
795,Wells Fargo Mobile,FINANCE,4.4,250719,37.0,10000000,Free,0.0,Everyone,Finance
796,Capital One® Mobile,FINANCE,4.6,510401,79.0,10000000,Free,0.0,Everyone,Finance
797,Amex Mobile,FINANCE,4.3,24729,32.0,1000000,Free,0.0,Everyone,Finance
798,Citi Mobile®,FINANCE,4.0,78306,46.0,5000000,Free,0.0,Everyone,Finance
799,Navy Federal Credit Union,FINANCE,4.4,43313,40.0,1000000,Free,0.0,Everyone,Finance
800,Chase Mobile,FINANCE,4.6,1374549,32.0,10000000,Free,0.0,Everyone,Finance
801,Barclays US for Android,FINANCE,4.1,6998,24.0,1000000,Free,0.0,Everyone,Finance
802,McDonald's,FOOD_AND_DRINK,3.6,145323,42.0,10000000,Free,0.0,Everyone,Food & Drink
803,Cookpad - FREE recipe search makes fun cooking · musical making!,FOOD_AND_DRINK,4.1,64784,13.0,10000000,Free,0.0,Everyone,Food & Drink
804,DELISH KITCHEN - FREE recipe movies make food fun and easy!,FOOD_AND_DRINK,4.6,32997,13.0,1000000,Free,0.0,Everyone,Food & Drink
805,Easy Recipes,FOOD_AND_DRINK,4.7,2707,8.9,100000,Free,0.0,Everyone,Food & Drink
806,Tastely,FOOD_AND_DRINK,4.7,611136,19.0,10000000,Free,0.0,Everyone,Food & Drink
807,Frigo Magic: Easy recipe idea and anti-waste,FOOD_AND_DRINK,4.1,2473,14.0,500000,Free,0.0,Everyone,Food & Drink
808,McDonald's - McDonald's Japan,FOOD_AND_DRINK,3.4,109784,64.0,10000000,Free,0.0,Everyone,Food & Drink
809,Debonairs Pizza,FOOD_AND_DRINK,3.8,3320,8.4,500000,Free,0.0,Everyone,Food & Drink
810,Popeyes® App,FOOD_AND_DRINK,3.7,61,11.0,50000,Free,0.0,Everyone,Food & Drink
811,Dunkin' Donuts,FOOD_AND_DRINK,4.2,68103,66.0,1000000,Free,0.0,Everyone,Food & Drink
812,Refreshing app Free application that can use deal coupons,FOOD_AND_DRINK,3.5,10741,41.0,1000000,Free,0.0,Everyone,Food & Drink
813,Simple Recipes,FOOD_AND_DRINK,4.7,3803,15.0,500000,Free,0.0,Everyone,Food & Drink
814,Grubhub: Food Delivery,FOOD_AND_DRINK,4.5,155944,35.0,5000000,Free,0.0,Everyone,Food & Drink
815,Panera Bread,FOOD_AND_DRINK,4.2,10159,36.0,1000000,Free,0.0,Everyone,Food & Drink
816,Chick-fil-A,FOOD_AND_DRINK,4.3,28008,17.0,5000000,Free,0.0,Everyone,Food & Drink
817,hellofood - Food Delivery,FOOD_AND_DRINK,4.0,43614,25.0,1000000,Free,0.0,Everyone,Food & Drink
818,Starbucks,FOOD_AND_DRINK,4.5,455377,35.0,10000000,Free,0.0,Everyone,Food & Drink
819,Easy and quick desserts,FOOD_AND_DRINK,4.6,1398,10.0,100000,Free,0.0,Everyone 10+,Food & Drink
820,Chef - Recipes & Cooking,FOOD_AND_DRINK,4.1,32405,12.0,5000000,Free,0.0,Everyone,Food & Drink
821,HungerStation,FOOD_AND_DRINK,3.8,22513,11.0,1000000,Free,0.0,Everyone,Food & Drink
822,Dr. Oetker recipe ideas,FOOD_AND_DRINK,4.2,8509,17.0,1000000,Free,0.0,Everyone,Food & Drink
823,SONIC Drive-In,FOOD_AND_DRINK,4.3,19314,43.0,1000000,Free,0.0,Everyone,Food & Drink
824,SUBWAY®,FOOD_AND_DRINK,3.8,21314,41.0,1000000,Free,0.0,Everyone,Food & Drink
825,Dairy Queen,FOOD_AND_DRINK,3.7,731,43.0,100000,Free,0.0,Everyone,Food & Drink
826,9th stage,FOOD_AND_DRINK,4.5,454,16.0,100000,Free,0.0,Everyone,Food & Drink
827,OpenRice,FOOD_AND_DRINK,3.6,14952,39.0,1000000,Free,0.0,Everyone,Food & Drink
828,SarashpazPapion (Cooking with Chef Bowls),FOOD_AND_DRINK,4.8,1250,13.0,50000,Free,0.0,Everyone,Food & Drink
829,Little Caesars,FOOD_AND_DRINK,3.3,1726,30.0,500000,Free,0.0,Everyone,Food & Drink
830,Recipes Pastries and homemade pies More than 500 recipes for pastries,FOOD_AND_DRINK,4.7,14065,7.1,500000,Free,0.0,Everyone,Food & Drink
831,Om Waleed Sweets,FOOD_AND_DRINK,4.6,556,23.0,100000,Free,0.0,Teen,Food & Drink
832,"Eat Fast Prepare ""Without Internet""",FOOD_AND_DRINK,4.6,4925,17.0,1000000,Free,0.0,Everyone,Food & Drink
833,Wendy’s – Food and Offers,FOOD_AND_DRINK,3.4,6507,18.0,1000000,Free,0.0,Everyone,Food & Drink
834,Healthy Recipes Free,FOOD_AND_DRINK,4.0,1077,17.0,100000,Free,0.0,Everyone,Food & Drink
835,ChefTap Recipes & Grocery List,FOOD_AND_DRINK,4.5,9066,15.0,500000,Free,0.0,Everyone,Food & Drink
836,Recipe Keeper,FOOD_AND_DRINK,4.4,1962,22.0,100000,Free,0.0,Everyone,Food & Drink
837,50 Healthy Slow Cooker Recipes,FOOD_AND_DRINK,4.0,196,9.0,10000,Free,0.0,Everyone 10+,Food & Drink
838,Easy Healthy Recipes,FOOD_AND_DRINK,4.1,278,7.2,50000,Free,0.0,Everyone,Food & Drink
839,Paprika Recipe Manager,FOOD_AND_DRINK,4.1,1268,2.3,50000,Paid,4.99,Everyone,Food & Drink
840,Yummly Recipes & Shopping List,FOOD_AND_DRINK,4.5,91359,27.0,1000000,Free,0.0,Everyone,Food & Drink
841,Cookpad,FOOD_AND_DRINK,4.5,131569,8.2,10000000,Free,0.0,Everyone,Food & Drink
842,"BigOven Recipes, Meal Planner, Grocery List & More",FOOD_AND_DRINK,4.3,31986,76.0,1000000,Free,0.0,Teen,Food & Drink
843,Postmates Food Delivery: Order Eats & Alcohol,FOOD_AND_DRINK,3.6,22875,22.0,1000000,Free,0.0,Everyone,Food & Drink
844,OpenTable: Restaurants Near Me,FOOD_AND_DRINK,4.6,90242,19.0,5000000,Free,0.0,Everyone,Food & Drink
845,Munchery: Chef Crafted Fresh Food Delivered,FOOD_AND_DRINK,3.9,464,28.0,50000,Free,0.0,Everyone,Food & Drink
846,Grubhub: Food Delivery,FOOD_AND_DRINK,4.5,155944,35.0,5000000,Free,0.0,Everyone,Food & Drink
847,Postmates Food Delivery: Order Eats & Alcohol,FOOD_AND_DRINK,3.6,22875,22.0,1000000,Free,0.0,Everyone,Food & Drink
848,EatStreet Food Delivery App,FOOD_AND_DRINK,4.6,7690,25.0,100000,Free,0.0,Everyone,Food & Drink
849,Pizza Hut,FOOD_AND_DRINK,4.4,321134,30.0,10000000,Free,0.0,Everyone,Food & Drink
850,Caviar - Food Delivery,FOOD_AND_DRINK,4.2,3755,8.5,100000,Free,0.0,Everyone,Food & Drink
851,Chick-fil-A,FOOD_AND_DRINK,4.3,28009,17.0,5000000,Free,0.0,Everyone,Food & Drink
852,Uber Eats: Local Food Delivery,FOOD_AND_DRINK,4.2,333208,34.0,10000000,Free,0.0,Everyone,Food & Drink
853,Seamless Food Delivery/Takeout,FOOD_AND_DRINK,4.5,35218,34.0,1000000,Free,0.0,Everyone,Food & Drink
854,TheFork - Restaurants booking and special offers,FOOD_AND_DRINK,4.3,37517,17.0,5000000,Free,0.0,Everyone,Food & Drink
855,foodpanda - Local Food Delivery,FOOD_AND_DRINK,4.0,292969,16.0,10000000,Free,0.0,Everyone,Food & Drink
856,Home Workout - No Equipment,HEALTH_AND_FITNESS,4.8,428156,15.0,10000000,Free,0.0,Everyone,Health & Fitness
857,Step Counter - Calorie Counter,HEALTH_AND_FITNESS,4.0,1577,2.2,500000,Free,0.0,Everyone,Health & Fitness
858,Lose Belly Fat in 30 Days - Flat Stomach,HEALTH_AND_FITNESS,4.9,38098,11.0,5000000,Free,0.0,Everyone,Health & Fitness
859,Pedometer - Step Counter Free & Calorie Burner,HEALTH_AND_FITNESS,4.8,31139,6.9,1000000,Free,0.0,Everyone,Health & Fitness
860,Six Pack in 30 Days - Abs Workout,HEALTH_AND_FITNESS,4.9,272337,13.0,10000000,Free,0.0,Everyone,Health & Fitness
861,Lose Weight in 30 Days,HEALTH_AND_FITNESS,4.8,220125,11.0,10000000,Free,0.0,Everyone,Health & Fitness
862,Pedometer,HEALTH_AND_FITNESS,4.4,400592,2.9,10000000,Free,0.0,Everyone,Health & Fitness
863,LG Health,HEALTH_AND_FITNESS,3.3,20098,25.0,10000000,Free,0.0,Everyone,Health & Fitness
864,Step Counter - Pedometer Free & Calorie Counter,HEALTH_AND_FITNESS,4.7,117925,7.0,10000000,Free,0.0,Everyone,Health & Fitness
865,"Pedometer, Step Counter & Weight Loss Tracker App",HEALTH_AND_FITNESS,4.6,548021,27.0,10000000,Free,0.0,Everyone,Health & Fitness
866,Sportractive GPS Running Cycling Distance Tracker,HEALTH_AND_FITNESS,4.8,48276,7.5,1000000,Free,0.0,Everyone,Health & Fitness
867,Home Workout for Men - Bodybuilding,HEALTH_AND_FITNESS,4.8,12705,15.0,1000000,Free,0.0,Everyone,Health & Fitness
868,Fat Burning Workout - Home Weight lose,HEALTH_AND_FITNESS,4.5,706,9.4,100000,Free,0.0,Everyone,Health & Fitness
869,Buttocks and Abdomen,HEALTH_AND_FITNESS,4.4,465,6.4,500000,Free,0.0,Everyone,Health & Fitness
870,Walking for Weight Loss - Walk Tracker,HEALTH_AND_FITNESS,4.5,644,5.5,100000,Free,0.0,Everyone,Health & Fitness
871,Running & Jogging,HEALTH_AND_FITNESS,4.5,6238,3.9,500000,Free,0.0,Everyone,Health & Fitness
872,Walk with Map My Walk,HEALTH_AND_FITNESS,4.5,144040,55.0,5000000,Free,0.0,Everyone,Health & Fitness
873,Sleep Sounds,HEALTH_AND_FITNESS,4.8,51227,28.0,1000000,Free,0.0,Everyone,Health & Fitness
874,Lose Belly Fat-Home Abs Fitness Workout,HEALTH_AND_FITNESS,4.6,199,8.8,50000,Free,0.0,Everyone,Health & Fitness
875,Cycling - Bike Tracker,HEALTH_AND_FITNESS,4.5,9116,4.0,500000,Free,0.0,Everyone,Health & Fitness
876,Abs Training-Burn belly fat,HEALTH_AND_FITNESS,4.7,2071,6.9,100000,Free,0.0,Everyone,Health & Fitness
877,Calorie Counter - EasyFit free,HEALTH_AND_FITNESS,4.7,50294,11.0,1000000,Free,0.0,Everyone,Health & Fitness
878,Aunjai i lert u,HEALTH_AND_FITNESS,4.2,1140,5.5,500000,Free,0.0,Teen,Health & Fitness
879,BetterMe: Weight Loss Workouts,HEALTH_AND_FITNESS,4.2,14709,15.0,5000000,Free,0.0,Everyone,Health & Fitness
880,Bike Computer - GPS Cycling Tracker,HEALTH_AND_FITNESS,4.4,12029,4.3,1000000,Free,0.0,Everyone,Health & Fitness
881,Six Packs for Man–Body Building with No Equipment,HEALTH_AND_FITNESS,4.6,2880,7.1,100000,Free,0.0,Everyone,Health & Fitness
882,Weight Watchers Mobile,HEALTH_AND_FITNESS,4.2,270267,58.0,5000000,Free,0.0,Everyone,Health & Fitness
883,The TK-App - everything under control,HEALTH_AND_FITNESS,4.5,8642,18.0,100000,Free,0.0,Everyone,Health & Fitness
884,Walking: Pedometer diet,HEALTH_AND_FITNESS,3.7,1861,1.5,1000000,Free,0.0,Everyone,Health & Fitness
885,Recipes for hair and face tried,HEALTH_AND_FITNESS,4.5,1203,6.5,500000,Free,0.0,Everyone,Health & Fitness
886,Abs Workout - 30 Days Fitness App for Six Pack Abs,HEALTH_AND_FITNESS,4.6,299,11.0,100000,Free,0.0,Everyone,Health & Fitness
887,8fit Workouts & Meal Planner,HEALTH_AND_FITNESS,4.6,115721,67.0,10000000,Free,0.0,Everyone,Health & Fitness
888,Run with Map My Run,HEALTH_AND_FITNESS,4.5,183662,57.0,5000000,Free,0.0,Everyone,Health & Fitness
889,Weight Loss Running by Verv,HEALTH_AND_FITNESS,4.5,27393,59.0,1000000,Free,0.0,Mature 17+,Health & Fitness
890,Couch to 10K Running Trainer,HEALTH_AND_FITNESS,4.6,10445,48.0,500000,Free,0.0,Everyone,Health & Fitness
891,PumpUp — Fitness Community,HEALTH_AND_FITNESS,4.0,49479,57.0,1000000,Free,0.0,Teen,Health & Fitness
892,"Home workouts - fat burning, abs, legs, arms,chest",HEALTH_AND_FITNESS,4.3,4848,13.0,1000000,Free,0.0,Everyone,Health & Fitness
893,"Fabulous: Motivate Me! Meditate, Relax, Sleep",HEALTH_AND_FITNESS,4.6,205299,31.0,5000000,Free,0.0,Everyone,Health & Fitness
894,StrongLifts 5x5 Workout Gym Log & Personal Trainer,HEALTH_AND_FITNESS,4.9,66791,10.0,1000000,Free,0.0,Everyone,Health & Fitness
895,Run with Map My Run,HEALTH_AND_FITNESS,4.5,183669,57.0,5000000,Free,0.0,Everyone,Health & Fitness
896,Workout Tracker & Gym Trainer - Fitness Log Book,HEALTH_AND_FITNESS,4.6,5420,21.0,500000,Free,0.0,Everyone,Health & Fitness
897,Freeletics: Personal Trainer & Fitness Workouts,HEALTH_AND_FITNESS,4.5,130104,25.0,10000000,Free,0.0,Everyone,Health & Fitness
898,Nike Training Club - Workouts & Fitness Plans,HEALTH_AND_FITNESS,4.6,251534,93.0,10000000,Free,0.0,Everyone,Health & Fitness
899,Fitbit Coach,HEALTH_AND_FITNESS,4.6,28951,60.0,1000000,Free,0.0,Everyone,Health & Fitness
900,"JEFIT Workout Tracker, Weight Lifting, Gym Log App",HEALTH_AND_FITNESS,4.5,60096,27.0,5000000,Free,0.0,Teen,Health & Fitness
901,Map My Ride GPS Cycling Riding,HEALTH_AND_FITNESS,4.5,106547,54.0,1000000,Free,0.0,Everyone,Health & Fitness
902,Weight Loss Running by Verv,HEALTH_AND_FITNESS,4.5,27396,59.0,1000000,Free,0.0,Mature 17+,Health & Fitness
903,Sworkit: Workouts & Fitness Plans,HEALTH_AND_FITNESS,4.6,109756,78.0,5000000,Free,0.0,Everyone,Health & Fitness
904,Map My Fitness Workout Trainer,HEALTH_AND_FITNESS,4.4,38343,55.0,1000000,Free,0.0,Everyone,Health & Fitness
905,8fit Workouts & Meal Planner,HEALTH_AND_FITNESS,4.6,115721,67.0,10000000,Free,0.0,Everyone,Health & Fitness
906,Daily Yoga - Yoga Fitness Plans,HEALTH_AND_FITNESS,4.4,70769,35.0,5000000,Free,0.0,Everyone,Health & Fitness
907,Relax Meditation: Sleep with Sleep Sounds,HEALTH_AND_FITNESS,4.4,26540,43.0,1000000,Free,0.0,Everyone,Health & Fitness
908,Free Meditation - Take a Break,HEALTH_AND_FITNESS,4.2,1608,39.0,100000,Free,0.0,Everyone,Health & Fitness
909,Meditate OM,HEALTH_AND_FITNESS,4.5,19074,4.2,1000000,Free,0.0,Everyone,Health & Fitness
910,Yoga - Track Yoga,HEALTH_AND_FITNESS,4.5,7976,44.0,500000,Free,0.0,Everyone,Health & Fitness
911,My Chakra Meditation,HEALTH_AND_FITNESS,4.4,7586,45.0,500000,Free,0.0,Everyone,Health & Fitness
912,"Meditation Music - Relax, Yoga",HEALTH_AND_FITNESS,4.6,48226,28.0,1000000,Free,0.0,Everyone,Health & Fitness
913,Meditation Studio,HEALTH_AND_FITNESS,4.6,1026,29.0,10000,Paid,3.99,Everyone,Health & Fitness
914,Down Dog: Great Yoga Anywhere,HEALTH_AND_FITNESS,4.9,28945,12.0,500000,Free,0.0,Teen,Health & Fitness
915,21-Day Meditation Experience,HEALTH_AND_FITNESS,4.4,11506,15.0,100000,Free,0.0,Everyone,Health & Fitness
916,My Chakra Meditation 2,HEALTH_AND_FITNESS,4.3,1288,31.0,100000,Free,0.0,Everyone,Health & Fitness
917,Simple Habit Meditation,HEALTH_AND_FITNESS,4.7,11689,20.0,500000,Free,0.0,Everyone,Health & Fitness
918,Headspace: Meditation & Mindfulness,HEALTH_AND_FITNESS,4.6,77563,39.0,10000000,Free,0.0,Everyone,Health & Fitness
919,Yoga Studio: Mind & Body,HEALTH_AND_FITNESS,4.3,5499,94.0,100000,Free,0.0,Everyone,Health & Fitness
920,Daily Yoga - Yoga Fitness Plans,HEALTH_AND_FITNESS,4.4,70769,35.0,5000000,Free,0.0,Everyone,Health & Fitness
921,My Cycles Period and Ovulation,HEALTH_AND_FITNESS,4.3,26652,41.0,1000000,Free,0.0,Everyone,Health & Fitness
922,I’m Expecting - Pregnancy App,HEALTH_AND_FITNESS,4.6,71269,49.0,1000000,Free,0.0,Everyone,Health & Fitness
923,The Bump Pregnancy Tracker,HEALTH_AND_FITNESS,4.6,20301,22.0,1000000,Free,0.0,Everyone,Health & Fitness
924,Best Ovulation Tracker Fertility Calendar App Glow,HEALTH_AND_FITNESS,4.6,56145,23.0,1000000,Free,0.0,Everyone,Health & Fitness
925,"Eve Period Tracker - Love, Sex & Relationships App",HEALTH_AND_FITNESS,4.6,20326,28.0,1000000,Free,0.0,Teen,Health & Fitness
926,Fertility Friend Ovulation App,HEALTH_AND_FITNESS,4.5,12955,7.2,1000000,Free,0.0,Teen,Health & Fitness
927,Pregnancy Tracker,HEALTH_AND_FITNESS,4.1,2681,6.5,500000,Free,0.0,Everyone,Health & Fitness
928,"Spot On Period, Birth Control, & Cycle Tracker",HEALTH_AND_FITNESS,4.6,4102,24.0,500000,Free,0.0,Everyone 10+,Health & Fitness
929,Period Tracker Clue: Period and Ovulation Tracker,HEALTH_AND_FITNESS,4.8,570242,20.0,10000000,Free,0.0,Everyone,Health & Fitness
930,WomanLog Calendar,HEALTH_AND_FITNESS,4.5,121838,15.0,5000000,Free,0.0,Everyone,Health & Fitness
931,Map My Hike GPS Hiking,HEALTH_AND_FITNESS,4.4,12858,55.0,500000,Free,0.0,Everyone,Health & Fitness
932,Runtastic Mountain Bike GPS Tracker,HEALTH_AND_FITNESS,4.5,50679,38.0,1000000,Free,0.0,Everyone,Health & Fitness
933,"AllTrails: Hiking, Running & Mountain Bike Trails",HEALTH_AND_FITNESS,4.3,16943,32.0,1000000,Free,0.0,Everyone,Health & Fitness
934,Tracks,HEALTH_AND_FITNESS,4.6,623,40.0,50000,Free,0.0,Everyone 10+,Health & Fitness
935,Weight Loss Running by Verv,HEALTH_AND_FITNESS,4.5,27396,59.0,1000000,Free,0.0,Mature 17+,Health & Fitness
936,"Technutri - calorie counter, diet and carb tracker",HEALTH_AND_FITNESS,4.4,70416,23.0,5000000,Free,0.0,Everyone,Health & Fitness
937,Couch to 5K by RunDouble,HEALTH_AND_FITNESS,4.7,15674,6.1,1000000,Free,0.0,Everyone,Health & Fitness
938,Weight Watchers Mobile,HEALTH_AND_FITNESS,4.2,270294,58.0,5000000,Free,0.0,Everyone,Health & Fitness
939,Walk with Map My Walk,HEALTH_AND_FITNESS,4.5,144050,55.0,5000000,Free,0.0,Everyone,Health & Fitness
940,Run with Map My Run,HEALTH_AND_FITNESS,4.5,183669,57.0,5000000,Free,0.0,Everyone,Health & Fitness
941,Nike Training Club - Workouts & Fitness Plans,HEALTH_AND_FITNESS,4.6,251534,93.0,10000000,Free,0.0,Everyone,Health & Fitness
942,Fitbit Coach,HEALTH_AND_FITNESS,4.6,28951,60.0,1000000,Free,0.0,Everyone,Health & Fitness
943,Calorie Counter - MyNetDiary,HEALTH_AND_FITNESS,4.5,27439,19.0,1000000,Free,0.0,Everyone,Health & Fitness
944,10 Best Foods for You,HEALTH_AND_FITNESS,4.0,2490,3.8,500000,Free,0.0,Everyone 10+,Health & Fitness
945,MyPlate Calorie Tracker,HEALTH_AND_FITNESS,4.6,24094,18.0,1000000,Free,0.0,Everyone,Health & Fitness
946,My Diet Diary Calorie Counter,HEALTH_AND_FITNESS,4.1,18539,57.0,1000000,Free,0.0,Everyone,Health & Fitness
947,Calorie Counter - Macros,HEALTH_AND_FITNESS,4.0,3061,5.5,100000,Free,0.0,Everyone,Health & Fitness
948,Weight Loss Tracker - RecStyle,HEALTH_AND_FITNESS,4.4,20547,5.7,1000000,Free,0.0,Everyone,Health & Fitness
949,Lark - 24/7 Health Coach,HEALTH_AND_FITNESS,4.1,3405,51.0,100000,Free,0.0,Everyone,Health & Fitness
950,MealLogger-Photo Food Journal,HEALTH_AND_FITNESS,3.5,217,9.4,50000,Free,0.0,Teen,Health & Fitness
951,Health and Nutrition Guide,HEALTH_AND_FITNESS,4.3,7895,3.3,500000,Free,0.0,Everyone,Health & Fitness
952,Food Calorie Calculator,HEALTH_AND_FITNESS,4.2,1324,4.0,100000,Free,0.0,Everyone,Health & Fitness
953,Calorie Counter - MyNetDiary,HEALTH_AND_FITNESS,4.5,27439,19.0,1000000,Free,0.0,Everyone,Health & Fitness
954,10 Best Foods for You,HEALTH_AND_FITNESS,4.0,2490,3.8,500000,Free,0.0,Everyone 10+,Health & Fitness
955,Monitor Your Weight,HEALTH_AND_FITNESS,4.5,126017,4.3,5000000,Free,0.0,Everyone,Health & Fitness
956,MyPlate Calorie Tracker,HEALTH_AND_FITNESS,4.6,24094,18.0,1000000,Free,0.0,Everyone,Health & Fitness
957,Weight Loss Tracker - RecStyle,HEALTH_AND_FITNESS,4.4,20547,5.7,1000000,Free,0.0,Everyone,Health & Fitness
958,Eat Fit - Diet and Health Free,HEALTH_AND_FITNESS,4.1,2469,3.6,100000,Free,0.0,Everyone,Health & Fitness
959,Calorie Counter - Macros,HEALTH_AND_FITNESS,4.0,3061,5.5,100000,Free,0.0,Everyone,Health & Fitness
960,My Diet Diary Calorie Counter,HEALTH_AND_FITNESS,4.1,18539,57.0,1000000,Free,0.0,Everyone,Health & Fitness
961,Lark - 24/7 Health Coach,HEALTH_AND_FITNESS,4.1,3405,51.0,100000,Free,0.0,Everyone,Health & Fitness
962,Weight Watchers Mobile,HEALTH_AND_FITNESS,4.2,270294,58.0,5000000,Free,0.0,Everyone,Health & Fitness
963,MealLogger-Photo Food Journal,HEALTH_AND_FITNESS,3.5,217,9.4,50000,Free,0.0,Teen,Health & Fitness
964,Health and Nutrition Guide,HEALTH_AND_FITNESS,4.3,7895,3.3,500000,Free,0.0,Everyone,Health & Fitness
965,Food Calorie Calculator,HEALTH_AND_FITNESS,4.2,1324,4.0,100000,Free,0.0,Everyone,Health & Fitness
966,Self Healing,HEALTH_AND_FITNESS,4.5,14394,9.9,500000,Free,0.0,Everyone,Health & Fitness
967,Relax Meditation: Sleep with Sleep Sounds,HEALTH_AND_FITNESS,4.4,26540,43.0,1000000,Free,0.0,Everyone,Health & Fitness
968,Happify,HEALTH_AND_FITNESS,3.7,1812,37.0,100000,Free,0.0,Everyone,Health & Fitness
969,Relaxing Sounds,HEALTH_AND_FITNESS,4.6,4642,40.0,100000,Free,0.0,Everyone,Health & Fitness
970,White Sound Pro,HEALTH_AND_FITNESS,4.7,16570,73.0,500000,Free,0.0,Everyone,Health & Fitness
971,"Meditation Music - Relax, Yoga",HEALTH_AND_FITNESS,4.6,48226,28.0,1000000,Free,0.0,Everyone,Health & Fitness
972,Self-help Anxiety Management,HEALTH_AND_FITNESS,4.0,2894,23.0,500000,Free,0.0,Everyone 10+,Health & Fitness
973,Brain Waves - Binaural Beats,HEALTH_AND_FITNESS,4.4,5038,10.0,500000,Free,0.0,Everyone,Health & Fitness
974,21-Day Meditation Experience,HEALTH_AND_FITNESS,4.4,11506,15.0,100000,Free,0.0,Everyone,Health & Fitness
975,Prana Breath: Calm & Meditate,HEALTH_AND_FITNESS,4.8,31665,8.4,1000000,Free,0.0,Everyone,Health & Fitness
976,"Fabulous: Motivate Me! Meditate, Relax, Sleep",HEALTH_AND_FITNESS,4.6,205299,31.0,5000000,Free,0.0,Everyone,Health & Fitness
977,White Noise Lite,HEALTH_AND_FITNESS,4.4,57634,41.0,1000000,Free,0.0,Everyone,Health & Fitness
978,Simple Habit Meditation,HEALTH_AND_FITNESS,4.7,11689,20.0,500000,Free,0.0,Everyone,Health & Fitness
979,Headspace: Meditation & Mindfulness,HEALTH_AND_FITNESS,4.6,77563,39.0,10000000,Free,0.0,Everyone,Health & Fitness
980,Daily Yoga - Yoga Fitness Plans,HEALTH_AND_FITNESS,4.4,70769,35.0,5000000,Free,0.0,Everyone,Health & Fitness
981,Zillow: Find Houses for Sale & Apartments for Rent,HOUSE_AND_HOME,4.5,417907,34.0,10000000,Free,0.0,Everyone,House & Home
982,"Viva Decora - Decoration, Photos, Architecture, House",HOUSE_AND_HOME,4.8,3167,7.5,100000,Free,0.0,Everyone,House & Home
983,Realtor.com Real Estate: Homes for Sale and Rent,HOUSE_AND_HOME,4.5,162243,12.0,10000000,Free,0.0,Everyone,House & Home
984,Real Estate sale & rent Trovit,HOUSE_AND_HOME,4.1,65913,7.7,5000000,Free,0.0,Everyone,House & Home
985,"591 housing transactions - renting houses, middle-class houses, new cases, real-time registration, villas through the sky, apartment suites, MRT, buying a house selling prices, housing mortgages",HOUSE_AND_HOME,4.1,24977,21.0,1000000,Free,0.0,Everyone,House & Home
986,"Homes.com 🏠 For Sale, Rent",HOUSE_AND_HOME,4.0,6000,18.0,1000000,Free,0.0,Everyone,House & Home
